step;alive;min_v;max_v;std_v;min_gap;max_gap;std_gap
373;19;1.025230;1.081022;0.019820;5.146489;5.381259;0.083561
374;19;1.025363;1.080908;0.019735;5.146988;5.380857;0.083200
375;19;1.025497;1.080793;0.019650;5.147489;5.380451;0.082841
376;19;1.025630;1.080677;0.019565;5.147993;5.380040;0.082484
377;19;1.025765;1.080561;0.019480;5.148500;5.379627;0.082128
378;19;1.025900;1.080444;0.019396;5.149009;5.379209;0.081774
379;19;1.026035;1.080326;0.019313;5.149521;5.378788;0.081421
380;19;1.026171;1.080207;0.019229;5.150036;5.378363;0.081069
381;19;1.026276;1.080088;0.019146;5.150553;5.377935;0.080720
382;19;1.026359;1.079968;0.019064;5.151073;5.377504;0.080371
383;19;1.026443;1.079847;0.018981;5.151595;5.377069;0.080024
384;19;1.026528;1.079726;0.018899;5.152119;5.376631;0.079679
385;19;1.026614;1.079604;0.018818;5.152646;5.376189;0.079335
386;19;1.026701;1.079481;0.018737;5.153174;5.375745;0.078993
387;19;1.026788;1.079358;0.018656;5.153705;5.375297;0.078652
388;19;1.026876;1.079234;0.018575;5.154239;5.374847;0.078313
389;19;1.026965;1.079110;0.018495;5.154774;5.374393;0.077975
390;19;1.027055;1.078985;0.018415;5.155311;5.373936;0.077638
391;19;1.027145;1.078859;0.018336;5.155851;5.373477;0.077303
392;19;1.027236;1.078733;0.018257;5.156392;5.373015;0.076970
393;19;1.027328;1.078607;0.018178;5.156936;5.372550;0.076638
394;19;1.027421;1.078480;0.018099;5.157481;5.372082;0.076307
395;19;1.027514;1.078352;0.018021;5.158028;5.371612;0.075978
396;19;1.027608;1.078224;0.017943;5.158577;5.371139;0.075650
397;19;1.027702;1.078095;0.017866;5.158921;5.370663;0.075324
398;19;1.027798;1.077966;0.017789;5.159256;5.370185;0.074999
399;19;1.027893;1.077837;0.017712;5.159594;5.369705;0.074675
400;19;1.027990;1.077707;0.017636;5.159936;5.369222;0.074353
401;19;1.028087;1.077577;0.017560;5.160280;5.368737;0.074032
402;19;1.028185;1.077446;0.017484;5.160628;5.368250;0.073713
403;19;1.028283;1.077315;0.017408;5.160979;5.367760;0.073395
404;19;1.028382;1.077184;0.017333;5.161334;5.367269;0.073078
405;19;1.028482;1.077052;0.017258;5.161691;5.366775;0.072763
406;19;1.028582;1.076920;0.017184;5.162051;5.366279;0.072449
